x,y,z
156.8105776359161,286.71312563385715,a
147.61035257504525,250.29753339312003,a
203.76866512910425,262.51531764255026,a
121.93584783409233,213.4606477319955,a
116.35650219474309,273.00616396243515,a
148.47484884714598,207.45461373689994,a
127.48798774165233,160.0764994028076,a
107.76792393676612,204.14109089456286,a
93.60883739355525,166.1455619087934,a
143.70938199256906,216.53486890219096,a
148.03395435743806,219.45806688610742,a
152.80689604809362,184.50327665708096,a
147.73185594172494,218.2879646242891,a
169.3425040142667,180.8820744510645,a
